genre,id,title,rating,production_countries,budget,revenue,imdb_ids,Plot
Action,620249,The Legend of Hei,8.4,['CN'],0,48045728,tt10734928,"When his forest is destroyed, the wood sprite Xiaohei takes the form of a cat and goes to live in the city, where the hybrid Fengxi (Stormend) befriends him. However, there are enemies on their trail."
Action,569094,Spider-Man: Across the Spider-Verse,8.346,['US'],100000000,690897910,tt9362722,"Traveling across the multiverse, Miles Morales meets a new team of Spider-People, made up of heroes from different dimensions. But when the heroes clash over how to deal with a new threat, Miles finds himself at a crossroads."
Action,101,L??on: The Professional,8.303,['FR'],16000000,45284974,tt0110413,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
Action,18491,Neon Genesis Evangelion: The End of Evangelion,8.276,['JP'],0,20563523,tt0169858,Concurrent theatrical ending of the TV series Neon Genesis Evangelion (1995).
Action,670,Oldboy,8.3,['KR'],3000000,17500000,tt0364569,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must track down his captor in five days."
Action,299534,Avengers: Endgame,8.24,['US'],356000000,2799439100,tt4154796,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
Action,299536,Avengers: Infinity War,8.2,['US'],300000000,2052415039,tt4154756,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
Action,283566,Evangelion: 3.0+1.0 Thrice Upon a Time,8.232,['JP'],29700000,93882453,tt2458948,"Misato and her anti-NERV group WILLE arrive in Paris, a city now red from core-ization. Crew from the flagship Wunder land on a containment tower."
Action,603,The Matrix,8.222,['US'],63000000,463517383,tt0133093,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
Action,618344,Justice League Dark: Apokolips War,8.2,['US'],0,0,tt11079148,A Sequel to Justice League Dark (2017) involving Jack Kirby's New Gods.
Action,98,Gladiator,8.217,"['GB', 'US']",103000000,465361176,tt0172495,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
Action,635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,8.207,['JP'],15700000,507119058,tt11032374,"After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair."
Action,11,Star Wars,8.202,['US'],11000000,775398007,tt0076759,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth ..."
Action,829402,Ultraman: Rising,8.186,"['JP', 'US']",0,0,tt9471678,"Ken Sato is a superstar baseball player who returns to Japan to become the latest hero to carry the mantle of Ultraman. However, he is compelled to raise a newborn kaiju monster, the offspring of his greatest enemy, as his own child."
Action,361743,Top Gun: Maverick,8.184,['US'],170000000,1488732821,tt1745960,"The story involves Maverick confronting his past while training a group of younger Top Gun graduates, including the son of his deceased best friend, for a dangerous mission."
Action,592350,My Hero Academia: Heroes Rising,8.2,['JP'],0,30017163,tt11107074,"A group of youths aspiring to become professional superheroes, fight in a world full of people with abilities, also known as quirks. Deku and his fellow classmates from Hero Academy face Nine, the strongest villain yet."
Action,111,Scarface,8.161,['US'],25000000,66023329,tt0086250,"In the 1980s, a determined criminal-minded Cuban immigrant becomes the biggest drug smuggler in Miami, and is eventually undone by his own drug addiction."
Action,810693,Jujutsu Kaisen 0,8.139,['JP'],0,195870885,tt14331144,"The prequel to Jujutsu Kaisen (2020), where a high schooler gains control of an extremely powerful cursed spirit and gets enrolled in the Tokyo Prefectural Jujutsu High School by Jujutsu Sorcerers."
Action,791373,Zack Snyder's Justice League,8.127,['US'],70000000,0,tt12361974,"Determined to ensure that Superman's ultimate sacrifice wasn't in vain, Bruce Wayne recruits a team of metahumans to protect the world from an approaching threat of catastrophic proportions."
Action,9702,Bound by Honor,8.128,['US'],35000000,4500000,tt0106469,"Based on the true life experiences of poet Jimmy Santiago Baca, the film focuses on step-brothers Paco and Cruz, and their bi-racial cousin Miklo."
Action,280,Terminator 2: Judgment Day,8.1,"['FR', 'US']",102000000,520000000,tt0103064,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg."
Action,795607,Green Snake,8.1,['CN'],0,87212911,tt15000314,Animated adaptation of the classic Chinese folktale. Sequel to the 2019 film 'White Snake'.
Action,664767,Mortal Kombat Legends: Scorpion's Revenge,8.1,['US'],0,0,tt9580138,Hanzo Hasashi loses his family during an attack by a rival clan the Lin Kuei. He is given the chance to compete in an inter-dimensional tournament to save his loved ones while other fighters try to save the Earth realm from annihi...
Action,755812,"Miraculous World: New York, United HeroeZ",8.083,"['BR', 'CA', 'FR', 'KR', 'GB', 'US']",0,0,tt12816348,"Marinette's class is headed to New York, the city of superheroes, for French American Friendship Week, but the American superheroes may find themselves in need of help while there."
Action,663558,New Gods: Nezha Reborn,8.078,['CN'],0,70000000,tt13269670,"A normal young deliveryman Li Yunxiang, though coming from the slum area, is living a satisfying life but when the arrogant wealthy son of Boss beats him down, his deep anger turns into a blast of Truth Fire."
Action,518068,Along with the Gods: The Last 49 Days,8.1,['KR'],18300000,112790210,tt8116428,"In the afterlife, one guardian helps a man through his trials, while his two colleagues help a former guardian on earth."
Action,397567,Along with the Gods: The Two Worlds,8.1,['KR'],18300000,125983972,tt7160070,"After a heroic death, a firefighter navigates the afterlife with the help of three guides."
Action,437068,A Taxi Driver,8.1,['KR'],12820005,81927980,tt6878038,"A widowed father and taxi driver who drives a German reporter from Seoul to Gwangju to cover the 1980 uprising, soon finds himself regretting his decision after being caught in the violence around him."
Action,992,Sherlock Jr.,8.1,['US'],0,0,tt0015324,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch."
Action,11645,Ran,8.1,"['JP', 'FR']",11500005,11859533,tt0089881,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him."
